model_handle,provider,point_cost,character_limit,languages,flags,comments
ElevenLabs-v3,,,,,,"ElevenLabs v3 is a cutting-edge text-to-speech model that brings scripts to life with remarkable realism and performance-level control. Unlike traditional TTS systems, it allows creators to shape the emotional tone, pacing, and soundscape of their audio through the use of inline audio tags. These tags are enclosed in square brackets and act as stage directions—guiding how a line is spoken or what sound effects are inserted—without being spoken aloud. This enables rich, expressive narration and dialogue for applications like audiobooks, games, podcasts, and interactive media. Whether you’re aiming for a tense whisper, a sarcastic remark, or a dramatic soundscape full of explosions and ambient effects, v3 gives you granular control directly in the text prompt. This bot will also run text-to-speech on PDF attachments / URL links. Examples of voice delivery tags include: * [whispers] I have to tell you a secret. * [angry] That was *never* the plan. * [sarcastic] Oh, sure. That’ll totally work. * and [laughs] You're hilarious. Examples of sound effect tags are: * [gunshot] Get down! * [applause] Thank you, everyone. * and [explosion] What was that?! These can also be combined. Multiple speakers can be supported via the parameter control. Dialogue for multiple speakers must follow the format, e.g. for 3 speakers: Speaker 1: [dialogue] Speaker 2: [dialogue] Speaker 3: [dialogue] Speaker 1: [dialogue] Speaker 2: [dialogue] --speaker_count 3 --voice_1 [voice_1] --voice_2 [voice_2] --voice_3 [voice_3]"
Hailuo-Speech-02,,,,,,"Generate speech from text prompts using the MiniMax Speech-02 model. Include `--hd` at the end of your prompt for higher quality output with a higher price. You may set language with `--language`, voice with`--voice`, pitch with `--pitch`, speed with `--speed`, and volume with `--volume`. Please check the UI for allowed values for each parameter."
Cartesia-Sonic,,,,,,"Generates audio based on your prompt using the latest Cartesia's Sonic 2.0 text-to-speech model in your voice of choice (see below) Add --voice [Voice Name] to the end of a message to customize the voice used or to handle different language inputs (e.g. 你好 --voice Chinese Commercial Woman). All of Cartesia's voices are supported on Poe. The following voices are supported covering 15 languages (English, French, German, Spanish, Portuguese, Chinese, Japanese, Hindi, Italian, Korean, Dutch, Polish, Russian, Swedish, Turkish): Here's the alphabetical list of all the top voice names: ""1920's Radioman"" Aadhya Adele Alabama Man Alina American Voiceover Man Ananya Anna Announcer Man Apoorva ASMR Lady Australian Customer Support Man Australian Man Australian Narrator Lady Australian Salesman Australian Woman Barbershop Man Brenda British Customer Support Lady British Lady British Reading Lady Brooke California Girl Calm French Woman Calm Lady Camille Carson Casper Cathy Chongz Classy British Man Commercial Lady Commercial Man Confident British Man Connie Corinne Customer Support Lady Customer Support Man Dallas Dave David Devansh Elena Ellen Ethan Female Nurse Florence Francesca French Conversational Lady French Narrator Lady French Narrator Man Friendly Australian Man Friendly French Man Friendly Reading Man Friendly Sidekick German Conversational Woman German Conversation Man German Reporter Man German Woman Grace Griffin Happy Carson Helpful French Lady Helpful Woman Hindi Calm Man Hinglish Speaking Woman Indian Lady Indian Man Isabel Ishan Jacqueline Janvi Japanese Male Conversational Joan of Ark John Jordan Katie Keith Kenneth Kentucky Man Korean Support Woman Laidback Woman Lena Lily Whisper Little Gaming Girl Little Narrator Girl Liv Lukas Luke Madame Mischief Madison Maria Mateo Mexican Man Mexican Woman Mia Middle Eastern Woman Midwestern Man Midwestern Woman Movieman Nathan Newslady Newsman New York Man Nico Nonfiction Man Olivia Orion Peninsular Spanish Narrator Lady Pleasant Brazilian Lady Pleasant Man Polite Man Princess Professional Woman Rebecca Reflective Woman Ronald Russian Storyteller Man Salesman Samantha Angry Samantha Happy Sarah Sarah Curious Savannah Silas Sophie Southern Man Southern Woman Spanish Narrator Woman Spanish Reporter Woman Spanish-speaking Reporter Man Sportsman Stacy Stern French Man Steve Storyteller Lady Sweet Lady Tatiana Taylor Teacher Lady The Merchant Tutorial Man Wise Guide Man Wise Lady Wise Man Wizardman Yogaman Young Shy Japanese Woman Zia"
Unreal-Speech-TTS,,,,,,"Convert chats, URLs, and documents into natural speech. 8 Languages: English, Japanese, Chinese, Spanish, French, Hindi, Italian, Portuguese. Use `--voice <VOICE_NAME>`. Defaults to `--voice Sierra`. Full list below: American English - Male: Noah, Jasper, Caleb, Ronan, Ethan, Daniel, Zane, Rowan - Female: Autumn, Melody, Hannah, Emily, Ivy, Kaitlyn, Luna, Willow, Lauren, Sierra British English - Male: Benjamin, Arthur, Edward, Oliver - Female: Eleanor, Chloe, Amelia, Charlotte Japanese - Male: Haruto - Female: Sakura, Hana, Yuki, Rina Chinese - Male: Wei, Jian, Hao, Sheng - Female: Mei, Lian, Ting, Jing Spanish - Male: Mateo, Javier - Female: Lucía French - Female: Élodie Hindi - Male: Arjun, Rohan - Female: Ananya, Priya Italian - Male: Luca - Female: Giulia Portuguese - Male: Thiago, Rafael - Female: Camila"
ElevenLabs-v2.5-Turbo,,,,,,"ElevenLabs' leading text-to-speech technology converts your text into natural-sounding speech, using the Turbo v2.5 model. Simply send a text prompt, and the bot will generate audio using your choice of available voices. If you link a URL or a PDF, it will do its best to read it aloud to you. The overall default voice is Jessica, an American-English female. Add --voice ""Voice Name"" to the end of a message (e.g. ""Hello world --voice Eric"") to customize the voice used. Add --language and the two-letter, Language ISO-639-1 code to your message if you notice pronunciation errors; table of ISO-639-1 codes here: https://en.wikipedia.org/wiki/List_of_ISO_639_language_codes (e.g. zh for Chinese, es for Spanish, hi for Hindi) The following voices are supported and recommended for each language: English -- Sarah, George, River, Matilda, Will, Jessica, Brian, Lily, Monika Sogam Chinese -- James Gao, Martin Li, Will, River Spanish -- David Martin, Will, Efrayn, Alejandro, Sara Martin, Regina Martin Hindi -- Ranga, Niraj, Liam, Raju, Leo, Manu, Vihana Huja, Kanika, River, Monika Sogam, Muskaan, Saanu, Riya, Devi Arabic -- Bill, Mo Wiseman, Haytham, George, Mona, Sarah, Sana, Laura German -- Bill, Otto, Leon Stern, Mila, Emilia, Lea, Leonie Indonesian -- Jessica, Putra, Mahaputra Portuguese -- Will, Muhammad, Onildo, Lily, Jessica, Alice Vietnamese -- Bill, Liam, Trung Caha, Van Phuc, Ca Dao, Trang, Jessica, Alice, Matilda Filipino -- Roger, Brian, Alice, Matilda French -- Roger, Louis, Emilie Swedish -- Will, Chris, Jessica, Charlotte Turkish -- Cavit Pancar, Sohbet Adami, Belma, Sultan, Mahidevran Romanian -- Eric, Bill, Brian, Charlotte, Lily Italian -- Carmelo, Luca, Alice, Lily Polish -- Robert, Rob, Eric, Pawel, Lily, Alice Norwegian -- Chris, Charlotte Czech -- Pawel Finnish -- Callum, River Hungarian -- Brian, Sarah Japanese -- Alice"
PlayAI-TTS,,,,,,"Generates audio based on your prompt using PlayHT's text-to-speech model, in the voice of your choice. Use --voice [voice_name] to pass in the voice of your choice, choosing one from below. Voice defaults to `Jennifer_(English_(US)/American)`. Jennifer_(English_(US)/American) Dexter_(English_(US)/American) Ava_(English_(AU)/Australian) Tilly_(English_(AU)/Australian) Charlotte_(Advertising)_(English_(CA)/Canadian) Charlotte_(Meditation)_(English_(CA)/Canadian) Cecil_(English_(GB)/British) Sterling_(English_(GB)/British) Cillian_(English_(IE)/Irish) Madison_(English_(IE)/Irish) Ada_(English_(ZA)/South_African) Furio_(English_(IT)/Italian) Alessandro_(English_(IT)/Italian) Carmen_(English_(MX)/Mexican) Sumita_(English_(IN)/Indian) Navya_(English_(IN)/Indian) Baptiste_(English_(FR)/French) Lumi_(English_(FI)/Finnish) Ronel_Conversational_(Afrikaans/South_African) Ronel_Narrative_(Afrikaans/South_African) Abdo_Conversational_(Arabic/Arabic) Abdo_Narrative_(Arabic/Arabic) Mousmi_Conversational_(Bengali/Bengali) Mousmi_Narrative_(Bengali/Bengali) Caroline_Conversational_(Portuguese_(BR)/Brazilian) Caroline_Narrative_(Portuguese_(BR)/Brazilian) Ange_Conversational_(French/French) Ange_Narrative_(French/French) Anke_Conversational_(German/German) Anke_Narrative_(German/German) Bora_Conversational_(Greek/Greek) Bora_Narrative_(Greek/Greek) Anuj_Conversational_(Hindi/Indian) Anuj_Narrative_(Hindi/Indian) Alessandro_Conversational_(Italian/Italian) Alessandro_Narrative_(Italian/Italian) Kiriko_Conversational_(Japanese/Japanese) Kiriko_Narrative_(Japanese/Japanese) Dohee_Conversational_(Korean/Korean) Dohee_Narrative_(Korean/Korean) Ignatius_Conversational_(Malay/Malay) Ignatius_Narrative_(Malay/Malay) Adam_Conversational_(Polish/Polish) Adam_Narrative_(Polish/Polish) Andrei_Conversational_(Russian/Russian) Andrei_Narrative_(Russian/Russian) Aleksa_Conversational_(Serbian/Serbian) Aleksa_Narrative_(Serbian/Serbian) Carmen_Conversational_(Spanish/Spanish) Patricia_Conversational_(Spanish/Spanish) Aiken_Conversational_(Tagalog/Filipino) Aiken_Narrative_(Tagalog/Filipino) Katbundit_Conversational_(Thai/Thai) Katbundit_Narrative_(Thai/Thai) Ali_Conversational_(Turkish/Turkish) Ali_Narrative_(Turkish/Turkish) Sahil_Conversational_(Urdu/Pakistani) Sahil_Narrative_(Urdu/Pakistani) Mary_Conversational_(Hebrew/Israeli) Mary_Narrative_(Hebrew/Israeli)"
PlayAI-Dialog,,,,,,"Generates dialogues based on your script using PlayHT's text-to-speech model, in the voices of your choice. Use --speaker_1 [voice_name] and --speaker_2 [voice_name] to pass in the voices of your choice, choosing from below. Voice defaults to `Jennifer_(English_(US)/American)`. Follow the below format while prompting (case sensitive): FORMAT: ``` Speaker 1: ...... Speaker 2: ...... Speaker 1: ...... Speaker 2: ...... --speaker_1 [voice_1] --speaker_2 [voice_2] ``` VOICES AVAILABLE: Jennifer_(English_(US)/American) Dexter_(English_(US)/American) Ava_(English_(AU)/Australian) Tilly_(English_(AU)/Australian) Charlotte_(Advertising)_(English_(CA)/Canadian) Charlotte_(Meditation)_(English_(CA)/Canadian) Cecil_(English_(GB)/British) Sterling_(English_(GB)/British) Cillian_(English_(IE)/Irish) Madison_(English_(IE)/Irish) Ada_(English_(ZA)/South_African) Furio_(English_(IT)/Italian) Alessandro_(English_(IT)/Italian) Carmen_(English_(MX)/Mexican) Sumita_(English_(IN)/Indian) Navya_(English_(IN)/Indian) Baptiste_(English_(FR)/French) Lumi_(English_(FI)/Finnish) Ronel_Conversational_(Afrikaans/South_African) Ronel_Narrative_(Afrikaans/South_African) Abdo_Conversational_(Arabic/Arabic) Abdo_Narrative_(Arabic/Arabic) Mousmi_Conversational_(Bengali/Bengali) Mousmi_Narrative_(Bengali/Bengali) Caroline_Conversational_(Portuguese_(BR)/Brazilian) Caroline_Narrative_(Portuguese_(BR)/Brazilian) Ange_Conversational_(French/French) Ange_Narrative_(French/French) Anke_Conversational_(German/German) Anke_Narrative_(German/German) Bora_Conversational_(Greek/Greek) Bora_Narrative_(Greek/Greek) Anuj_Conversational_(Hindi/Indian) Anuj_Narrative_(Hindi/Indian) Alessandro_Conversational_(Italian/Italian) Alessandro_Narrative_(Italian/Italian) Kiriko_Conversational_(Japanese/Japanese) Kiriko_Narrative_(Japanese/Japanese) Dohee_Conversational_(Korean/Korean) Dohee_Narrative_(Korean/Korean) Ignatius_Conversational_(Malay/Malay) Ignatius_Narrative_(Malay/Malay) Adam_Conversational_(Polish/Polish) Adam_Narrative_(Polish/Polish) Andrei_Conversational_(Russian/Russian) Andrei_Narrative_(Russian/Russian) Aleksa_Conversational_(Serbian/Serbian) Aleksa_Narrative_(Serbian/Serbian) Carmen_Conversational_(Spanish/Spanish) Patricia_Conversational_(Spanish/Spanish) Aiken_Conversational_(Tagalog/Filipino) Aiken_Narrative_(Tagalog/Filipino) Katbundit_Conversational_(Thai/Thai) Katbundit_Narrative_(Thai/Thai) Ali_Conversational_(Turkish/Turkish) Ali_Narrative_(Turkish/Turkish) Sahil_Conversational_(Urdu/Pakistani) Sahil_Narrative_(Urdu/Pakistani) Mary_Conversational_(Hebrew/Israeli) Mary_Narrative_(Hebrew/Israeli)"
Orpheus-TTS,,,,,,"Orpheus TTS is a state-of-the-art, Llama-based Speech-LLM designed for high-quality, empathetic text-to-speech generation. Send a text prompt to voice it. Use --voice to choose from one of the available voices (`tara`, `leah`, `jess`, `leo`, `dan`,`mia`, `zac`, `zoe`). Officially supported sound effects are: <laugh>, <chuckle>, <sigh>, <cough>, <sniffle>, <groan>, <yawn>, <gasp>, and <giggle>."
